decade;genres_list;startYear;count
2020;Film-Noir;0;0
2020;Game-Show;6066;5
2020;History;8090;582
2020;Horror;8090;2468
2020;Music;10115;686
2020;Musical;6066;276
2020;Mystery;8090;1050
2020;News;8090;16
2020;Reality-TV;6066;40
2020;Romance;8090;1759
2020;Sci-Fi;12144;772
2020;Sport;6066;425
2020;Talk-Show;6066;22
2020;Thriller;10115;2897
2020;War;6066;210
2020;Western;6066;109
